Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL3682593,544.507,525.355,0.29437431,0.572596301,-0.477639243,0.572596301,0.477639243,0,0,0,3,1,4,6,1,12,8,0,0,0,4,5.4297,131.6426
CHEMBL3682594,546.523,525.355,0.308837047,0.572596301,-0.477639243,0.572596301,0.477639243,0,0,0,3,1,4,6,2,12,8,0,0,0,4,5.2804,132.2719
CHEMBL3682601,545.539,523.363,0.308566444,0.572596301,-0.405799676,0.572596301,0.405799676,0,0,0,3,1,4,6,1,12,8,0,0,0,4,5.12852,133.891
CHEMBL3687332,498.584,474.392,0.333855817,0.265357251,-0.544815108,0.544815108,0.265357251,0,0,0,3,2,5,6,0,8,7,0,0,0,5,4.27682,138.2333
CHEMBL5284452,308.334,295.23,0.922942797,0.26923626,-0.492090559,0.492090559,0.26923626,0,1,1,1,1,2,5,1,7,2,0,1,1,3,2.1272,75.8953
CHEMBL4749804,388.442,367.274,0.712597942,0.254820537,-0.367573492,0.367573492,0.254820537,1,0,1,3,0,3,2,1,5,5,0,0,0,4,4.182,108.4509
CHEMBL4791592,410.42,390.26,0.641784396,0.258568507,-0.50712164,0.50712164,0.258568507,0,0,0,3,0,3,3,2,7,6,0,0,0,3,4.1004,107.4267
CHEMBL4758145,404.897,383.729,0.669646366,0.254820531,-0.367573492,0.367573492,0.254820531,1,0,1,3,0,3,2,1,5,5,0,0,0,4,4.6963,113.5029
CHEMBL4745090,384.479,360.287,0.707082194,0.254820344,-0.367573492,0.367573492,0.254820344,1,0,1,3,0,3,2,1,4,5,0,0,0,4,4.433,113.1099
CHEMBL422704,314.469,284.229,0.491168416,0.131335723,-0.507178324,0.507178324,0.131335723,0,1,1,1,0,1,2,1,2,7,0,0,0,2,6.0356,98.0678
