Molecule ChEMBL ID,,HOMO,LUMO,Electronegativity,Hardness
CHEMBL2443081,,-0.216239,-0.022258,0.1192485,0.0969905
CHEMBL3682572,,-0.217462,-0.083997,0.1507295,0.0667325
CHEMBL3682588,,-0.220335,-0.08924,0.1547875,0.0655475
CHEMBL3682613,,-0.216868,-0.089799,0.1533335,0.0635345
CHEMBL3976638,,-0.215371,-0.050018,0.1326945,0.0826765
CHEMBL3577904,,-0.213891,-0.068707,0.141299,0.072592
CHEMBL3577900,,-0.213689,-0.070974,0.1423315,0.0713575
CHEMBL3577899,,-0.212491,-0.07789,0.1451905,0.0673005
CHEMBL3577893,,-0.209835,-0.079974,0.1449045,0.0649305
CHEMBL2387742,,-0.198795,0.014707,0.092044,0.106751
CHEMBL2443067,,-0.228038,-0.073498,0.15076799999999999,0.07727
CHEMBL2443062,,-0.227149,-0.039215,0.133182,0.093967
CHEMBL3353583,,-0.249719,-0.08897,0.1693445,0.0803745
CHEMBL4247089,,-0.225005,-0.068922,0.1469635,0.0780415
CHEMBL2443072,,-0.220976,-0.025044,0.12301000000000001,0.097966
CHEMBL375696,,-0.225549,0.009563,0.107993,0.117556
CHEMBL3968210,,-0.193825,-0.060438,0.1271315,0.0666935
CHEMBL3904057,,-0.212459,-0.060816,0.1366375,0.0758215
CHEMBL3945471,,-0.219243,-0.053837,0.13654,0.082703
CHEMBL2442034,,-0.203242,-0.018965,0.11110350000000001,0.0921385
CHEMBL3682566,,-0.213019,-0.086146,0.1495825,0.0634365
CHEMBL3682564,,-0.017744,0.001995,0.0078745,0.0098695
CHEMBL3687368,,-0.210322,-0.079602,0.144962,0.06536
CHEMBL3687369,,-0.205793,-0.091679,0.148736,0.057057000000000004
CHEMBL3687380,,-0.220102,-0.089723,0.1549125,0.0651895
CHEMBL3687399,,-0.210964,-0.086809,0.1488865,0.0620775
CHEMBL3353576,,-0.234858,-0.073353,0.1541055,0.0807525
CHEMBL3353605,,-0.196527,-0.086247,0.141387,0.05514
CHEMBL5287633,,-0.190931,-0.004746,0.0978385,0.0930925
